event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,59,59,3699295,3885363,3699292,5,1000,0,0,4
2,66,125,2471127,2568796,2507809,5,1000,0,0,11
3,39,164,7817713,7862041,3890845,5,1002,2,0,8
4,87,251,543669,565260,1412812,5,1002,0,0,4
5,69,320,3801778,3834259,1626858,7,1002,2,0,8
6,41,361,6398621,6477838,1960209,20,1003,1,0,7
7,0,361,1,4050509,1924330,20,1003,0,0,0
8,68,429,897150,906922,1077945,43,1004,1,0,1
9,109,538,57002,59658,248963,29,1003,1,0,-2
10,72,610,1607759,1659545,205383,43,1008,1,0,4
11,46,656,5030356,5160835,235122,43,1012,0,0,12
12,42,698,4726042,4762242,312042,23,1014,2,0,0
13,57,755,3684937,3755870,318359,1,1013,1,0,6
14,78,833,1015049,1046175,180561,24,1020,1,0,1
15,56,889,4306120,4396863,208913,14,1018,0,0,5
16,45,934,4661843,4734335,233634,20,1019,1,0,3
17,84,1018,2720766,2727812,271374,0,1017,9,0,9
18,51,1069,4672425,4749184,320936,13,1019,1,0,3
19,54,1123,3850116,3892927,363196,6,1019,1,0,9
20,70,1193,2643455,2692496,373957,27,1022,1,0,10
21,76,1269,3062012,3130496,391071,24,1022,1,0,3
22,43,1312,5804891,5819629,869897,6,1023,1,0,16
23,77,1389,3032012,3089984,887750,23,1020,1,0,17
24,37,1426,8313023,8332181,1142241,24,1020,1,0,11
25,84,1510,3605769,3684808,1116444,37,1017,0,0,0
26,45,1555,4470272,4585970,1100722,37,1019,0,0,2
27,56,1611,6768213,6846369,1494248,37,1014,0,0,10
28,21,1632,8530474,8534494,1858461,38,1015,2,0,0
29,93,1725,3214603,3240976,1884912,42,1011,1,0,4
30,56,1781,5492181,5543309,1909622,27,1012,1,0,16
31,87,1868,71843,76412,1491699,27,1012,0,0,1
32,42,1910,5858482,5872362,1653278,31,1012,2,0,2
33,64,1974,3344369,3459323,1585136,31,1013,0,0,22
34,113,2087,837610,846476,1359931,25,1016,1,0,8
35,37,2124,6535126,6598145,1378675,30,1015,1,0,2
36,119,2243,327613,337027,1049737,38,1015,2,0,1
37,65,2308,2218121,2288743,1024602,38,1014,0,0,13
38,47,2355,3553119,3580069,998438,3,1016,1,0,0
