event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,78,78,386786,419754,386786,0,1000,0,0,16
2,81,159,403369,411621,46395,0,1003,0,0,15
3,49,208,4546622,4577044,108210,4,1010,2,0,25
4,74,282,2126680,2146027,110792,10,1016,1,0,11
5,77,359,1937686,1959965,125799,15,1020,1,0,11
6,37,396,7916011,7947419,296627,19,1024,1,0,5
7,0,396,1,1435046,288717,13,1018,0,0,0
8,61,457,1985409,2030157,204713,11,1020,0,0,6
9,92,549,842908,857852,115571,8,1025,1,0,5
10,73,622,1365609,1390841,93015,12,1027,1,0,1
11,54,672,2320649,2337027,89322,11,1027,2,4,12
12,53,725,1601931,1613033,65961,11,1030,1,0,9
13,67,792,986476,1003794,35686,27,1034,1,0,31
14,72,860,2123974,2136062,35112,16,1041,2,4,5
15,63,923,2122988,2146003,28596,16,1044,0,0,13
16,55,978,1754311,1765212,19371,7,1045,2,0,12
17,86,1064,2277759,2278773,25189,2,1031,16,0,9
18,56,1120,2831263,2870531,25334,1,1032,1,0,5
19,55,1175,3563249,3584683,35523,1,1034,1,0,13
20,91,1262,166126,169770,16583,20,1034,2,4,7
21,61,1323,7574310,7580856,44357,16,1038,1,0,13
22,105,1428,129721,130251,16387,16,1038,0,0,10
23,95,1519,332745,334089,8898,11,1037,3,4,15
24,57,1576,1699858,1720777,8237,20,1036,1,0,5
25,117,1685,151238,151849,2502,4,1035,3,8,2
26,58,1743,1864764,1884393,1620,4,1035,0,0,14
27,98,1841,551139,562772,1096,52,1029,0,0,21
28,43,1884,3245101,3256527,2336,98,1033,1,0,0
29,143,2023,57036,59834,1062,26,1037,2,4,0
30,61,2084,3660360,3684008,977,22,1037,1,0,4
31,86,2166,103407,105397,390,20,1036,2,4,2
32,63,2229,1227813,1256406,487,20,1037,0,0,12
33,49,2278,7585813,7595345,1364,8,1039,1,0,19
34,120,2398,423475,430689,869,8,1044,0,0,12
35,37,2435,6609644,6627577,920,32,1042,2,0,5
36,121,2556,266499,269929,395,27,1043,1,0,1
37,69,2625,1523373,1535961,410,10,1043,1,0,11
38,46,2667,3847342,3858287,708,37,1041,2,4,5
