event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,75,75,633353,635738,633353,0,1000,0,0,6
2,59,134,4090673,4092464,1356117,0,1003,0,0,7
3,42,172,7052551,7052941,2914426,1,1006,3,4,8
4,82,254,999533,999984,1235355,5,1007,1,0,5
5,84,338,764071,765971,686659,0,1009,1,0,3
6,40,378,6610236,6612208,949108,0,1013,0,0,16
7,0,378,6582907,6632320,941323,8,1014,1,0,0
8,78,456,196482,196546,227706,2,1017,1,0,6
9,112,568,34225,34333,23173,4,1020,1,0,4
10,83,651,183753,184070,8032,12,1024,2,0,7
11,47,698,4838687,4841852,10945,27,1028,1,0,13
12,59,757,548612,549705,4393,23,1025,0,0,0
13,53,806,5289188,5290726,12230,16,1028,2,4,12
14,83,889,477515,477972,3580,1,1034,1,0,4
15,73,962,555608,556248,1222,17,1033,1,0,8
16,38,1000,7236640,7239214,3830,2,1034,1,0,10
17,101,1101,261956,262093,1659,1,1029,14,0,6
18,62,1163,1076287,1077974,1050,1,1030,0,0,3
19,47,1210,6156600,6157653,3881,0,1031,2,0,13
20,89,1295,226702,227180,1867,2,1032,2,4,11
21,88,1383,354348,355187,1060,2,1034,0,0,3
22,114,1497,26743,26881,173,13,1032,2,0,3
23,98,1595,175840,176251,58,34,1033,1,0,4
24,65,1660,524592,525479,29,29,1036,1,0,4
25,116,1772,170735,170808,4,5,1034,2,4,9
26,69,1841,832700,833122,2,28,1034,1,0,13
27,80,1917,2496253,2497253,4,1,1033,2,4,5
28,81,1994,12734,12761,1,27,1036,2,4,0
29,116,2106,766670,767227,5,49,1041,2,4,0
30,68,2174,1594569,1596015,3,7,1040,1,0,4
31,59,2229,4476902,4478027,4,4,1041,2,4,0
32,81,2310,45016,45936,3,4,1039,0,0,9
33,89,2399,127887,128009,1,6,1033,1,0,3
34,108,2507,1200920,1201767,1,1,1031,0,0,2
35,36,2543,6672833,6679045,1,1,1032,0,0,2
36,120,2663,299612,300282,1,13,1032,2,0,2
37,65,2728,2342080,2343551,1,39,1034,1,0,19
38,52,2776,2439179,2440765,1,32,1031,2,4,2
